artista,musica,tom,sequencia
aline-barros,vitoria-no-deserto,G,G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;E;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;D9;Bm;Em;D9;Bm;Em;D9;Bm;Em;C;D9;D9;G;D9;Em;C;G;D9;Em;C;E;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;G;D9;Em;C;E;D;G
aline-barros,voce-especial,C,C;G;F;C;C;G;F;C;C;G;F;C;C;G;F;C;C;F;G;C;Am;F;G;C;C;F;G;C;Am;F;G;C;C;G;F;C;C;G;F;C;C;G;F;C;C;G;F;C;A;C;F;G;C;Am;F;G;C;C;F;G;C;Am;F;G;C;D;A;G;D;D;A;G;D;G;D;G;D
almir-guineto,conselho,C,G7M;Bm;Dm;Dm;G7;C;Cm;Bm;Bm7;E7;A7;Am7;D79;G;Bm;Dm;G7;C;Cm;Bm7;E7;A7;Cm;D7;G7M;D7;G;Bm;Dm;G7;C;Cm;G;F;E7;A7;D7;G
almir-guineto,insensato-destino,C,G;F#m7(5-);B7;Em;Dm;G7;C;D7;Bm;E7;A7;Am;D7;C;D7;Bm;E7;Am;D7;Dm;G7;C;D7;Bm;E7;Am;D7;G;Gm;Gm7;Cm;F7;Bb7+;Eb7+;Am7(5-);D7;Gm;Gm7;A7;D7;Gm;Gm7;A7;D7;Gm;Gm7;A7;D7;Gm
almir-sater,chalana-72,D,D;A7(13);D;A7;G;D;A7;D;G;D;A7(13);D;A7(13);G;A7;D;A7;D;G;D;A7(13);D;G;D;A7;D
almir-sater,tocando-em-frente,C,G;F9;C;G;F9;C;G;F9;Dm;F9;Dm;C;F9;Dm;F9;Dm;F9;C;G;F9;C;G;F9;C;G;F9;Dm;F9;Dm;C;F9;Dm;F9;Dm;C;G;F9;C;G;F9;C;G;F9;Dm;F9;Dm;C;F9;Dm;F9;Dm;C;G;F9;C;G;F9;C;G
alphaville,forever-young,G,G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#;G;G/F#;Em;C9;D/F#;Em;C9;D/F#
alt-j,something-good,D,Em;C;G;Em;C;G;Em;C;G;Em;C;G;Em;C;G;Em;C;G;Em;C;G;Em;C;G
amado-batista,meu-ex-amor,E,B;E;B;A;E;E;B;A;B;E;E;B;A;B;E;E7;A;E;A;B;E;B;E;B;A;E;E;B;A;B;E;E;B;A;B;E;E7;A;E;A;B;E
amado-batista,princesa,C,F;C;G;F;G;C;F;C;C;G;C;G;C;G;C;F;C;C;G;C;G;C;C7;F;C;Am;G;C;C7;F;C;Am;G;G;F;C;C7;F;C;G;F;G
