artista,musica,tom,sequencia
amado-batista,seresteiro-das-noites,G,G;D;G;D;G;D;G;D;G;D;G;D;G;G7;C;G;D;G;G7;C;G;D;G;D;G;D;G;D;G;D;G;D;G;D;G;G7;C;G;D;G;C;G;D;G;D;G;D;G;D;G;D;G;D;G;D;G;G7;C
amy-winehouse,back-to-black,F,Dm;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm;A7;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm;Bb7M;F;A7;Dm;Bb7M;F;A7;Dm;Gm;Bb;A7;Dm;Gm;Bb;A7;Dm
amy-winehouse,valerie,D#,Eb;Fm;Eb;Fm;Ab;Gm;Ab;Gm;Ab;Gm;Bb;Eb;Fm;Eb;Fm;Eb;Fm;Eb;Fm;Eb;Fm;Eb;Fm;Ab;Gm;Ab;Gm;Ab;Gm;Bb;Eb;Fm;Eb;Fm;Eb;Gm;Eb;Gm;Ab;Gm;Ab;Gm;Ab;Gm;Bb;Eb;Fm;Eb;Gm;Eb
ana-carolina,e-isso-ai,G,G6(9);C9;D;D4;C9;G6(9);C9;D;D4;D;D4;Em7(9);C9;Em7;C9;G/B;Am7;C9;D;C9;G6(9);C9;D;D4;C9;G6(9);C9;D;D4;D;D4;Em7(9);C9;Em7;C9;G/B;Am7;C9;D;C9
ana-carolina,garganta,A#,Gm;Bb4;D7;Gm;Bb4;A4;Gm;Bb4;A4;Gm;Bb4;A4;Gm;Bb4;A4;Gm;Bb4;A4;Gm;Bb4;A4;Cm7;F7;Bb9;Cm;Bb6/G;F#9-;F4(6/9);Eb7M;A4;Gm;Bb4;A4;Gm;Bb4;A4;Cm7;F7;Bb9;Gm;Bb6/G;F#9-;F4(6/9);Eb7M;A4;Gm;Bb4;A4;Gm;Bb4;A4;Cm7;F7;Bb9;Cm;Bb6/G;F#9-;F4(6/9);Eb7M;A4;Gm;Bb4;A4;Gm;Bb4;A4;Gm;Gm;Bb4;A4;Gm;F;Gm
ana-carolina,quem-de-nos-dois-versao-acustica-,A#,Cm7;F7;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Bb7+;Eb7+;Bb;F;G#;Gm;Eb7+;F;Bb;F7;G#;Gm;Eb7+;D;Gm;Cm7;F;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Cm7;F7;Bb7+;Eb7+;Bb7+;Eb7+;Bb;F;G#;Gm;Eb7+;F;Bb;F7;G#;Gm;Eb7+;D;Gm
ana-carolina,tanta-saudade,C,Am;F7+;Bm5-/7;E5+/7;C7+;F7+;Bm5-/7;E5+/7;Am;F7+;Bm5-/7;E5+/7;C7+;F7+;Bm5-/7;E5+/7;Am;F7+;Bm5-/7;E5+/7;C7+;F7+;Bm5-/7;Am;F7;Bm5-/7;E5+/7;C7+;F7+;Bm5-/7;E5+/7;Am;F7+;Bm5-/7;E5+/7;C7+;F7+;Bm5-/7;E5+/7;Am;F7;Bm5-/7;E5+/7;C7+;F7+;Bm5-/7;E5+/7;Am;F7;Bm5-/7;E5+/7;C7+;C;F7+;Bm5-/7;E5+/7;Am;F7;Bm5-/7;E5+/7;C7+;F7+;Bm5-/7;E5+/7;Am;F7;Bm5-/7;E5+/7;C7+;F7+;Bm5-/7;E5+/7;Am;F7;C7+;F7;E5+/7;Am;F7;C7+;F7+;E5+/7;Am;F7+;Bm5-/7;E5+/7;C7+;F7+;Bm5-/7;E5+/7
ana-nobrega,eu-navegarei,A,F#m;F#m/E;Bm;D;F#m;A;E;Bm;D;Bm;C#4;C#7;F#m;A;E;Bm;D;Bm;C#4;C#7;F#m;A;E;Bm;D;Bm;C#4;C#7;F#m;A;E;Bm;D;Bm;C#4;C#7;F#m;F#m/E;Bm;D
ana-nobrega,oceanos-oceans-hillsong-united,D,Bm;A/C#;D;A;G;Bm;A/C#;D;A;G;Bm;A/C#;D;A;G;G;D;A;G;D;A;G;D;A;G;A;Bm;A/C#;D;A;G;Bm;A/C#;D;A;G;Bm;A/C#;A;G;G;D;A;G;D;A;G;D;A;G;A;Bm;A/C#;D;A;G;Bm;A/C#;D;A;G;Bm;G;D;A;Bm;G;D;A;Bm;G;D;A;Bm;A/C#;D;A;G;G;D;A;G;D;A;G;D;A;G;A;Bm;A/C#;D;A;G
ana-paula-nobrega,oceanos,D,Bm;A/C#;D;A;G;Bm;A;D;A;G;Bm;A;D;A;G;G;D;A;G;D;A;G;D;A;G;A;Bm;Bm;A;D;A;G;Bm;A;D;A;G;Bm;A;D;A;G;G;D;A;G;D;A;G;D;A;G;A;Bm;Bm;A;D;A;G;Bm;G;D;A;Bm;G;D;A;Bm;G;D;A;G;D;A;G;G;D;A;G;Bm;A;D;A;G;Bm;A;D;A;G;Bm;A;D;A;G
ana-paula-valadao,me-ama,A,A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D;A;D/F#;E;D
anavitoria,singular,G,G;C9;Am;Em;C9;G;Am;Em;C9;G;Am;D;C9;G;Am;Em;C9;G;Am;D;Am;C9;G;D;Am;C9;G;D;C9;G;Am;Em;C9;G;Am;Em;C9;G;Am;Em;C9;G;Am;D;C9;G;Am;Em;C9;G;Am;D;C9;D;Am;C9;G;D;Am;C9;G;D;C9;G;Am;Em;C9;G;Am;D
anderson-freire-e-gisele-nascimento,mapa-do-tesouro,A#,Gm;D#;Cm;Dm;Gm;D#;Bb;Cm;D;D#;F;D#;F;D#;F;D#;F;G#;D#;F;Gm;Cm;F;Bb;Bb/D;D#;Bb;Cm;F;D#;F;Gm;Cm;F;Bb;Bb/D;D#;Cm;D;D#;F;A;B;A;B;A;B;A;B;A;B;D;A;B;C#m7;A;B;E;E/G#;A;E;F#m;B;A;B;C#m7;A;B;E;E/G#;A;E;F#m;G#;A;B;A;B;A;B;C#m7;B;A;E;D;B;B;C#m7;A;B;E;E/G#;A;E;F#m;B;A;B;C#m7;A;B;E;E/G#;A;E;F#m;G#;A;B
anderson-freire,a-igreja-vem,G,G;C;Em;C;D7/4;G;C;G;C;G;C;G;C;Em;D;G;C;Am;Bm;Em;Am;D;Em;C;D;G;G;C/G;G;C9;G/B;Am;D/F#;D;G;C/G;G;G;C/G;G;G/B;C;G/B;Am;D4;C/D;Em;C;D;B4;B;C;D;Em;Bm;C;D;Em;Bm;C;D/4;D;G;C;Em;C;D;C/D;G;G/B;C;Am;Bm;Em;Am;D4;D;Em;D/F#;G;D;Em;C;D;B4;B;C;D;Em;Bm;C;D;Em;Bm;C;D/4;D;G;C;Em;C;D;C/D;G;G/B;C;Am;Bm;Em;Am;D4;D;Em;D/F#;G;C;G;D4;D;G;C/G;G;C/G;G;C;Em;C;D;C/D;G;C;Am;Bm;Em;Am;D4;D;G;C;Em;C;D;C/D;G;C;Am;Bm;Em;Am;D4;D;Em;D/F#;G
anderson-freire,acalma-o-meu-coracao,B,C#m7;F#;B;E;C#m7;F#;B/D#;E;B;G#m7;C#m7;F#;B;E;C#m7;F#;B;G#m7(9)
anderson-freire,bom-samaritano,F,F;F7M;Dm;C;Bb7M;F;Bb7M;F;F7M;Dm;C;Bb7M;F7M;Bb7M;C;F;F7M;Dm;C;Bb7M;F7M;Bb7M;C;C#º;Dm;C;Bb7M;Am;Gm7;Am;Bb7M;C;C#º;Dm;C;Bb7M;Am;Gm7;A;Bb7M;C;F;F7M;Dm;C;Bb7M;F;Bb7M;F;F7M;Dm;C;Bb7M;F;Bb7M;C;F;F7M;Dm;C;Bb7M;F;Bb7M;C;C#°;Dm;C;Bb7M;Am;Gm7;Am;Bb7M;C;C#°;Dm7;C;Bb7M;Am;Gm7;Am;Bb7M;C;Dm;C;F;C;Dm;C;Bb;F;Gm;C;F;C;Dm7;C;Bb;F;Gm;Gm;C;F;C;Dm;C;Bb;F;Gm;C;F
anderson-freire,cancao-do-ceu,D#
anderson-freire,colisao,E,D5;E5;E;C#m;B9;A9;E/G#;F#m;B9;E;C#m;B9;A9;E/G#;F#m;B9;F#m;B9;F#m;E/G#;A9;B9;E;C#m;B9;A9;E/G#;F#m;B9;E;C#m;B9;A9;E/G#;F#m;B9;A9;B;F#m;A
anderson-freire,coracao-valente,A,C#m;F#m;G#4/7;G#;A9;B9;C#m;F#m/C#;C#m;C#4/7/9;C#m;A/C#;F#m;B;B/D#;E9;C#m;F#m/C#;C#m;C#4/7/9;C#m;A/C#;F#m;B;B/A;E/G#;D6;C#7;F#m;Am;E9;E;C#;D#;C#m;C#m;F#m;A9;G#4/7;G#;C#m;F#m;A9;G#4/7;G#;A9;B9;C#m;A;B;C#m;C#4/7/9;C#;D#;E;F#;G#;A/E;B/F#;G#4/7;G#;G#;F#;E;D#;F#;E;D#;B;A;C
anderson-freire,efesios-6,C,F;C;G;Am;F;C;G;Em;Am;Am;F;C;G;Am;F;C;G;F;G;Am;Em;F7+;G;Am;Am;F;Dm;E;F;Dm;Am;E;Am;F;Dm;Bm7(5-)E7/9#;Am;F;Dm;G;F;G;Am;C;G;Em;Am;Am;G/B;C;Dm;F;G;Dm;E;F;G;Em;C;G;Am;Am
anderson-freire,identidade,G,Em7;C/D;C9;G;D/F#;C9;Em7;Em7;C9;D9;Am7;Em7;C9;D9;Am7;Em;F#m;G;A;A;G;F#m;Em;Em7;C9;D9;Am7;Em7;D9;C9;B;Em7;C9;G;D9;Em7;C9;G;B;Em;Em7;C/D;C9;G;D/F#;Em7;C9;D9;Am7;Em7;C9;D9;Am7;Em7;Em7;C9;D9;Am7;Em7;D9;C9;B;Em7;C9;G;D9;Em7;C9;G;B;Em7;F#m;G;A;A;G;F#m;Em;Em7;C9;D9;Am;Em7;C9;D9;Am7;Em;D9;G;B4;Em7;C9;G;D9;Em7;C9;G;B;Em7
anderson-freire,primeira-essencia,E,E;B/D#;C#m;B;A;F#m;E;B/D#;A9;E/G#;F#m;E/G#;A9;B4;B;E;B/D#;A9;E/G#;F#m;E/G#;A9;B4;B;A;B;E;B;E/G#;F#m;B;A;B;E;B/D#;C#m;B;A;E/G#;F#m;B;E;B/D#;C#m;B;A;E/G#;F#m;B;E;E;B/D#;C#m;B  
anderson-freire,raridade,D,G5;D/F#;Em;D9;G5;D/F#;Em;D9;A9/C#;Bm7;A9;G5;D/F#;Em;A9;D9;A9/C#;Bm7;A9;G5;D/F#;Em;A9;Bm7;G5;D9;A9;Bm7;G5;D9;A9;Em;D/F#;G5;Bm7;Em;D/F#;G5;D9;A9/C#;Bm7;A9;G5;D/F#;Em;A9;D9;A9/C#;Bm7;A9;G5;D/F#;Em;A9;Bm7;D9;A9/C#;Bm7;A9;G5;D/F#;Em;A9;Bm7;G5;D9;A9;Bm7;G5;D9;A9;Em;D/F#;G5;Bm7;Em;D/F#;G5;D9;A9/C#;Bm7;A9;G5;D/F#;Em;A9;D9;A9/C#;Bm7;A9;G5;D/F#;Em;A9;Em;D9;Am;Em;G5;A9;B4;E;B4/D#;C#m7;B4;A9;A9/G#;F#m4/7/C#;B4;E;B4/D#;C#m7;B4;A9;A9/G#;F#m4/7/C#;B4;F#m4/7/C#;A9/G#;E;B4/D#;C#m7;B4;A9;A9/G#;F#m;B4;E;B4/D#;C#m7;B4;A9;A9/G#;F#m4/7/C#;B4;A9;A9/G#;F#m4/7/C#;Em;A9;A9/G#;F#m4/7/C#;E
anderson-freire,so-voce,C,G;D/F#;Em;D#;F;C/G;G;Em7;C9;G/B;Am7;D9;G;D/F#;Em7;D9;C9;G/B;Am7;D9;Em7;D9;C9;G/B;D#7+;F;Am;D9;Em7;D9;C9;G/B;Am7;C;G;D;G;D/F#;Em7;D;C9;G/B;Am7;D9;G;D/F#;Em;Bm7;C;G/B;Am;D9;Am;G/B;C;D9;Am;G/B;C;D9;Em;D;C9;G/B;D#7+;F;Am;D9;Em;Bm7;C;G/B;Am7;C;G;D;G;D/F#;Em7;D9;C;G/B;Am7;D9;G;D/F#;Em7;Bm7;C9;G/B;Am7;D9;Am;G/B;C;D9;Am;G/B;C;D9;G
andre-valadao,abraca-me,G,G;C9;Em7;D9;D4;D;G;C9;Em7;D9;D4;D;C9;D;C9;D;G;Em7;C9;Am;D9;G9;Em7;C9;Am;D9
andre-valadao,mais-perto-quero-estar,G,G;G/B;C;G;D;C;G;G/B;C;Am;G;Em;D;G;G/B;C;Am;G;D;G;D;G;C;G;Am;Bm;Em;Am;D;G;G/B;C;Am;G;D;G;G;G/B;C;Am;G;Em;D;G;G/B;C;Am;G;D;G;G;C;G;Am;Bm;Em;Am;D;G;G/B;C;Am;G;D;G;D;G;G/B;C;Am;G;Em;D;G;G/B;C;Am;G;D;G;G;C;G;Am;Bm;Em;Am;D;G;G/B;C;Am;G;D;C
andre-valadao,milagres,C,G/B;C;C/E;F9;G/B;F9;Dm7;Am7;Am7/G;F9;G/B;C;Am7;Am7/G;F9;C/E;Dm7;G4;G;F9;G;Am7;F9;G;Am7;C/E;F9;G;Am7;G/B;F/A;G4;G;Am7;G/B;C;C/E;F9;G;Am7;Em7;F9;G;Am7;G/B;F/A;G4;G;F9;G;Gsus4;G;F/A;G/B;Dm7;C/E;F;G;G/B;Am7;Am7/G;F9;G/B;C;Am7;Am7/G;F9;C/E;Dm7;G4;G;F9;G;Am7;F9;G;Am7;C/E;F9;G;Am7;G/B;F/A;G/B;F/C;G4;G;Bb9;Gsus4;G;Bb9;Gsus4;G;Am7;G/B;C;C9;G4;G;F9;G;Am7;F9;G;Am7;C/E;F9;G;Am7;G/B;F/A;G4;G;Am7;G/B;C;C/E;F9;G;Am7;Em7;F9;G;Am7;G/B;F/A;G/B;F/C;G4;G;Bb9;Fm/Eb;C
andre-valadao,pela-fe,F,F;Dm;Bb;C;F;Dm;Bb;C;F;Dm;Bb;C;Bb;C;Dm;Bb;C;Dm;Bb;C;Dm;Bb;C;Dm;F;Dm;Bb;C;F;Dm;Bb;C;F;Dm;Bb;C;Bb;C;Dm;Bb;C;Dm;F;Dm;Bb;C;F
andre-valadao,pra-sempre-teu,C,F;C;C;Am7;Dm;FM7;C;Am7;Dm;FM7;F7M;C;F7M;C;C;Am7;Dm;FM7;C;Am7;Dm;FM7;F7M;C;F7M;C;F7M;C;F7M;Am7;F;C;F;C;C/E;F;G;Am7;C/E;F;G;Am7;F7M;C;F7M;C;F7M;C;F7M;Am7
anjos-de-resgate-musicas,amigos-pela-fe,G,G;Em;C;Am;D;G;D/F#;Em;D;C;D;G;D/F#;Em;D;C;D;Am;G;C;Am;D;Am;G;C;Am;D;G;D/F#;Em;C;D;G;D/F#;Em;C;D;G;G;D/F#;Em;D;C;D;G;D/F#;Em;D;C;D;Am;G;C;Am;D;Am;G;C;Am;D;Bb;F;Bb;D;G;D/F#;Em;D;C;D;G;D/F#;Em;D;C;D;G
anjos-de-resgate-musicas,minha-mae-minha-flor,A,Bm;C#m7;E/G#;F#/A#;Bm;F#m7;E/D;A;C#m7;D7M;D/E;A;C#m7;D7M;D/E;A;C#m;D7M;D/E;A/F#;C#m7/F#;D;E;A;C#m7;D7M;D/E;A;C#m7;D7M;D/E;A;C#m7;D7M;E/D;A;F#m;A/F#;Bm;F#m7;E/G#;F#/A#;Bm;F#m7;D/E;D/F#;Bm;F#m7;E/G#;F#/A#;Bm;F#m7;D/E;D/F#;E/G#;A;C#m7;D7M;E/D;A;C#m7;D7M;D/E;A;C#m7;D7M;D/E;A;C#m7;D7M;D/E;Bm;C#m7;E/G#;F#/A#;Bm;F#m7;E/D;A;C#m7;D7M;D/E;A;C#m7;C#m7;D7M;D/E;A;C#m7;D7M;D/E
anjos-de-resgate-musicas,noites-traicoeiras,E,E;E4;E;E4;E;G#m;A;B;E;E;G#m;A;B;E;B;C#m;A;B;E;E;B;C#m;A;B;E;E7;A;B;G#m;C#m;F#m;B7;E;E7;A;B;G#m;C#m;F#m;B7;E;E;G#m;A;B;E;E;G#m;A;B;E;B;C#m;A;B;E;B;C#m;A;B;E;E7;A;B;G#m;C#m;F#m;B7;E;E7;A;B;G#m;C#m;F#m;B7;E;A;E
antonio-carlos-e-jocafi,voce-abusou,C,A7+;E/G#;Em/G;F#7;Bm/F#;D;Dm7;E7;A7+;E/G#;Em/G;F#7;Bm7;D;E7/9-;E7;Am;Am/G;Dm7;F;G/F;C/Bb;C/E;Bm7/5-;F;E7;Am;Am/G;Dm/F;G/F;C/Bb;F7+;Bm5-/7;E7;A7+;E/G#;Em/G;F#7;Am;Am/G;Dm/F;G/F;C/Bb;C/E;Bm7/5-;E7;Am;Am/G;Dm/F;G/F;C/Bb;F7+;Bm7/5-;E7;A7+;E/G#;Em/G;F#7
antony-e-gabriel,eu-te-amo-pinga,C#,Bbm;G#;Bbm;F#;C#;G#;Bbm;F#;C#;G#;Bbm;F#;C#;G#;Bbm;F#;C#;G#;Bbm;F#;C#;G#;Bbm;F#;C#;G#;Bbm;F#;C#;G#;Bbm;F#;C#;G#;Bbm;F#;C#;G#;Bbm
araketu,carta-branca,C,C;Em;F;Fm;C;G;F;C;G;F;C;G;Dm;F;C;D;F;C;G;C;G/B;A;Dm;A;Dm;G;E7;Am;F;C;G;C;C;G/B;A;Dm;A;Dm;G;E7;Am;F;C;G;C;G;Dm;F;C;D;F;C;G
araketu,mal-acostumado,D#,Cm;Fm;Bb;Gm;Eb;Dm5-/7;G7;Cm;Fm;Bb;Gm;Eb;Dm5-/7;G7;Cm;G;C;Fm;Bb;Gm;Eb;Dm5-/7;G7;Cm;G;C;Fm;Bb;Gm;Eb;Dm5-/7;G7;Cm;Fm;Bb;Gm;G;G7;Cm;Fm;Ab;G7;Fm;Bb;Gm;Eb;G;Ab;Fm;G7
araketu,ta-na-cara,C,C;G/B;Am;Dm;F/G;G7;C;Bm7/5-;E7;Am;Em;Dm;Dm7+;F/G;G7;Dm;Dm7+;F/G;G7;C;Bm7/5-;E7;Am;Em;F;Dm7;F/G;G7;Dm;Dm7;F/G;G7;C;G/B;Am;Am;C/G;F;F;Dm;F/G;G7;C;C;G/B;Am;Am;C/G;F;F;Dm;F/G;G7;C;C;G/B;Am;Dm;F/G;G7;C;Bm7/5-;E7;Am;Em;Dm;Dm7+;F/G;G7;Dm;Dm7+;F/G;G7
arctic-monkeys,do-i-wanna-know,A#
arctic-monkeys,r-u-mine,A
arctic-monkeys,suck-it-and-see,E,E;C#m;F#m;B;E;C#m;F#m;B;E;E;A;B;F#m;B;C#m;F#m;A;B;E;A;B;E;A;B;F#m;B;C#m;F#m;A;B;E;E;C#m;F#m;B;E;C#m;F#m;B;E;C#m;F#m;B;E;C#m;F#m;B;E;E;A;B;E;A;B;F#m;B;C#m;F#m;A;B;C#m;G#m;C#m;B;A;A;F#m;C#m;G#m;C#m;B;A;F#m;A;B;A;A;E;E;A;E;A;E;A;E;A;E;A;E;A;F#m;A;B;E
ariana-grande,break-free,G,C;Am;G;C;Em;Am;G;C;Em;Am;G;C;Em;Am;G;C;Em;Am;G;B7;C;Em;G;C;Em;D;C;Em;D;C;Am;C;Em;G;C;Em;D;C;Em;D;C;Am;C;Bm;C;Em;Am;G;C;Em;Am;G;C;Em;Am;G;C;Em;Am;G;B7;C;Em;G;C;Em;D;C;Em;D;C;Am;C;Em;G;C;Em;D;C;Em;D;C;Am;C;Am;C;G;Em;G;D;Am;C;G;Em;D;Am;C;Em;Bm;Am;C;Em;D;G;Em;Bm;C;Em;G;C;Em;G;C;Em;D;C;Am;C;Em;G;C;Em;G;C;Em;D;C;Am;C
arlindo-cruz,ainda-e-tempo-para-ser-feliz,F,Bb;C7;Am;D7;Gm;C7;F;F7;Bb;Bbm;Am;Cm;D7;Bb;Bbm;A7;D7;Bb;Bbm;Am;D7;Bb;Am;Bb;A7;Dm;Cm;F7;Dm;C;Am;Cm;D7;Gm;Am;Bb;C7;F;Cm;F7;Bb;C7;F;F7;Bb;C7;Cm;F7;Bb;C7;Cm;D7;Gm;C7;F;F7
arlindo-cruz,boca-sem-dente-bagaco-da-laranja,G,F;D;D7;G#m5-/7;Gm6;F#m7;Fº;Em7;A7;Am;D7;G#m5-/7;Gm6;F#m7;Fº;Em7;A7;D;A7;D;A7;D;B7;Em;C7;B7;Em;Em/D;A7;Em7;A7;D;A7;Bm;C#7;F#m7;B7;Em;A7;Am;B7;E7/9;A7;F#m5-/7;B7;E7/9;A7;D;A7;F#m7;Fm7;Em7;A7;D;Am;D7;G7+;G6;G#m5-/7;Gm6;F#m7;Fº;Em7;A7;D;D7;G#m5-/7;Gm6;F#m7;Fº;Em7;A7;D;D;F;C7;F;D7;Gm7;C7;F;D7;Gm7;C7;F;D7;Gm7;C7;F;D7;C7;F;D7;Gm7;C7;F;D7;Gm7;C7;F;D7;C7;F;D7;Gm7;C7;F;D7;Gm7;C7;F;D7;C7;F;D7;Gm7;C7;F;D7;Gm7;C7;F;D7;C7;F;D7;Gm7;C7;F
arlindo-cruz,chegamos-ao-fim,C,A7+;Am7/9;Dm;G7/4;G7;C7+;Am7/9;Dm;G7/4;G7;C7+;C6;F7+;Em7;Dm;G7;C;C7;F7+;A7/13-;Dm;Em7;F7+;G7;C;Dm7;Em7;G7;C;Dm7;Em7;G7;C;G7;A7+
arlindo-cruz,meu-nome-e-favela,E,E;F#7;Fm;B7;E;B7;E;C#7;F#7(9);C#7;F#m;B7;E;B7;E;C#7;F#7(9);C#7;F#m;B7;E;E7;A;B7;G#m;C#7;F#7(9);G#m;F#m;B7;E;Bm;E7;A;B7;G#m;C#7;F#7(9);G#m;F#m;B7;E;E7;A;B7;G#m;C#7;F#m;G#m;A7+;B7;E;Bm;E7;A;B7;G#m;C#7;F#m;G#m;A7+;B7;E
arlindo-cruz,o-bem,D,A7/4;A7/4;A7/4;G6/9;F#7(b13);Bm7/9;Em7;A7;D6/9;F#7(b13);Bm;Em;A7/4;D6/9;B7/4;B7(b13);Em7/9;A7/13;D6/9;B7/4;B7(b13);Em7/9;F#m7;G7+;A7/13;D7;F#;G;G#;A;G#;G;F#;D7;G7+;A/G;F#m7;Fº;Abº;G7+;D9/F#;Em;G/A;D6/9;A/C#;D/C;D7;Em7;D/F#;G;E/G#;A;F#;A#
arlindo-cruz,o-meu-lugar,C,Am7(9);Dm7(9);F7+;G7(b9);Am7(9);D7/9;Dm7;G7;C;Bm7(b5);E7(b9);Am7(9);D7/9;Dm7;G7;Gm7;C7/9;Fm7;C7M;Am7;D7/9;Bm7(b5);E7(b9);Am7(9);D7/9;Dm7;G7/9;C;Ebº;Dm;C;Ebº;Dm;Am7/9;Em;Bm7(b5);E7;Am7/9;Bm7(b5);E7(b9);Am7/9;Em;B7;E;F#7;B7;E7;A6;C#7;A7;D;E7(9);A6;Em;A7;Dm7;G7(9);C;Am7;Dm7;G7;C;Ebº;Dm7;C;Ebº;Dm7;C;Em7;Ebº;Dm7;G7;C;Em7;Ebº;Dm7;G7;Gm7;C7(9);F#m7(b5);Fm6;Em7;A;Dm7;G7;Gm7;C7(9);F#m7(b5);Fm6;Em7;A;Dm7;G7;Gm7;C7(9);F#m7(b5);Fm6;Em7;A;Dm7;G7;Gm7;E;Em;C7/9;F#m7(b5);Fm6;Em7;A;Dm7;G7;C
arlindo-cruz,sera-que-amor,A,A7M;E/G#;E/G;F#7;B7(9);E7;A7M;E/G#;E/G;F#7;B7(9);E7(4/9);E/G#;F#7;E/G;F#7;B7(9);B7;B7(4/9);B7(9);D7(9);C#7(13b);F#m7;E/G#;F#7;E/G;F#7;B7(9);B7;B7(4/9);B7(9);D7(9);C#7(13b);F#m7;C#m;A7(13);D7M;A/C#;Bm;Bm7/A;G#m7(5b);C#7(9b);F#m7;Em7;A7(13);D6(9);A/C#;Bm7;E7;A7M;E7;A7M;E/G#;F#7;B7(9);E7(4/9);A7M;E7;A7M;E/G#;F#7;B7(9);E7(4/9);A7M;F#m7;B7(9);E7(4/9);C#m7(5b);F#7;B7(9);E7(4/9);F
armandinho,analua,A,A;A7;D7+;C#m7;Bm7;E;E7;A7+;A7;D7+;C#m7;Bm7;E;E7;A7+;A7;A9;Bm7;D;A9;Bm7;D9/B;A7+;Bm7;D9/B;A7+;A7;Bm7;E7;C#m7;F#m7;Bm7;E;E7;A7+;A7;D7+;C#m7;Bm7;E;E7;A7+;A7;D7+;C#m7;Bm7;E;E7;A7+
armandinho,desenho-de-deus,A,A7+;D7+;A7+;D7+;A7+;D7+;C#m7;Bm7;C#m7;Bm7;D/E;A7+;D7+;A7+;D7+;A7+;D7+;A7+;D7+;A7+;D7+;A7+;D7+;A7+;D7+;C#m7;Bm7;C#m7;Bm7;D/E;A7+;D7+;A7+;D7+;A7+;D7+;A7+;D7+;A7+;D7+
armandinho,eu-juro,G,D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+;D7+;G7+
armandinho,outra-noite-que-se-vai,D,G;Em7;Em7+;Em7;C9;Cm;G7+;Em7;G7+;Em7;G7+;Em7;G7+;Em7;C;Cm;G7+;Em7;G7+;Em7;G7+;Em7;G7+;Em7;C;Cm;G;Bm;C;Cm;G;Bm;C;Cm;G7+;Em7;G7+;Em7;G7+;Em7;G7+;Em7;C;Cm;G7;Bm;C;Cm;G;Bm;C;Cm;G7+;G7+;Em7;G7+;Em7;C;Cm;G7+;Em7;G7+;Em7;G7+;Em7;G7+;Em7;C;Cm;G;Bm;C;Cm;G;Bm;C;Cm;G;Bm;C;Cm;G;Bm;C;Cm;G7+;G;Em7;Em7+;Em7;C;Cm
armandinho,outra-vida,F,Dm;Dm;Am7;Bb7M;Am7;Bb7M;Am7;Bb7M;Am7;Gm7;C7;Dm;Am7;Bb7M;Am7;Bb7M;Am7;Bb7M;Bb7M;Am7;Gm7;C7;Dm;Am7;Bb7M;Am7;Bb7M;Am7;Bb7M;Am7;Gm7;C7;Dm;Am7;Dm;Am7;Bb7M;Am7;Bb7M;Am7;Bb7M;Am7;Gm7;C7;Dm;Am7;Bb7M;Am7;Bb7M;Am7;Bb7M;Am7;Gm7;C7;Dm;Am7
armandinho,starfix,E,E;E7+;A;Am;F#m;B;E;E7+;A;Am;F#m;B;E;E7;A;B;E;B;C#m7;A;Am;E;A;E;A
armandinho,ursinho-de-dormir,D,D7M;G7M;D7M;G7M;D7M;G7M;D7M;Em;A7;G7M;D7M;G7M;D7M;G7M;D7M;G7M;Em;A7;D7M;G7M;D7M;G7M
armando-filho,quero-que-valorize,C,C;C;F;C;F;C;F;G;C;F;C;F;C;F;G;F;G;C;C;F;C;F;C;Am;G;C;F;C;F;C;Am;G;Am;F;G
art-popular,agamamou,A,A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;E7/9;D7/9;D7/9;D7/9;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7;D7/9;A7
